Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2014	3	21	48293	45348	43367	43736	45415	45441	44091	44526	47695	50204	52607	55031	54876	52518	50405	49333	49419	52152	56848	60390	57916	55997	55792	51747
2014	3	22	49027	48219	48709	49407	52201	56062	62932	69432	72804	72954	73512	74737	73814	73217	71921	66986	69965	70604	73742	77827	73945	69292	65323	59720
2014	3	23	56566	54822	54011	54283	55585	57963	63718	69271	71559	70419	69126	69083	68411	67888	67280	66727	66205	68104	71919	76993	73749	69602	65753	60417
2014	3	24	56736	54579	54287	54895	56289	58453	63475	68098	70360	70392	69962	70354	69227	68574	67416	66560	66106	67269	70167	74270	70580	65931	61689	56570
2014	3	25	52932	52518	51733	52354	54007	56579	62235	67478	70185	70211	70690	71605	70480	69686	69367	68703	68021	69216	71791	75336	71288	66242	61870	56279
2014	3	26	53306	51732	50893	51617	53368	56123	61450	67276	70474	70683	71113	71860	71900	70589	69255	69024	68169	68449	69810	70911	66614	62234	59039	54481
2014	3	27	50829	48489	48149	49014	50303	50183	49863	51300	54235	56154	56944	57939	57067	55881	54520	53800	53871	56079	59187	62182	58661	55339	53735	49728
2014	3	28	46186	43867	43867	43955	44959	45010	44116	43691	45567	48161	50368	53052	53493	51394	49527	48750	48653	49864	52823	55074	57448	55956	55240	51884
2014	3	29	48026	46641	46862	47520	49357	51939	59218	66126	70465	72108	73368	74040	72881	71688	69686	68020	66188	66197	67341	69036	71612	68588	64667	59055
2014	3	30	55074	52968	52014	52442	54122	56416	61688	67132	69627	69714	69675	69735	68325	67408	66516	65982	64907	65179	66239	67016	67969	64611	61207	56507
2014	3	31	52979	51271	50735	51337	52910	54868	60484	66201	69465	69757	69580	70366	69579	68885	68223	66700	66046	66234	68056	69291	70314	66465	62637	57613
2014	4	1	55989	54507	53644	54169	55805	57911	63460	68384	70851	72582	74431	75152	73832	72514	71851	70440	68752	66998	67112	66966	67311	63848	61055	56431
2014	4	2	52551	50938	50602	50485	50143	48887	45792	45040	46836	48478	49571	51505	51107	49024	46342	45765	45700	47810	50643	52658	55532	54219	53368	49599
2014	4	3	46819	45300	44938	44728	45765	46496	46307	47716	51003	53107	53691	54328	53713	52432	51931	51874	52144	53182	54780	55667	56517	55017	53897	49802
2014	4	4	45748	43071	42323	42552	42959	42875	42259	42339	45466	47691	49378	51267	49609	47019	45822	44999	44740	46344	48835	50134	51645	51381	51005	47369
2014	4	5	44394	43269	42788	42448	43292	43265	42545	43176	45618	48485	50196	51452	50746	48951	47034	45861	45347	47127	49545	51176	53960	53819	53344	49549
2014	4	6	46445	45682	46220	46813	48727	51899	58990	64831	67873	67829	67757	68076	66561	65297	63822	62753	61486	62299	64078	65514	67545	65738	62402	57499
2014	4	7	53996	52521	51297	51407	52676	54706	61628	66660	68792	68421	67915	68163	67092	65702	64291	64001	63666	64036	65245	66862	69261	66722	62150	56752
2014	4	8	52249	51510	51014	51321	52770	55569	61893	66781	69293	69475	70470	70880	69727	68737	67415	66889	65965	65993	67288	68419	69395	66988	63268	57955
