Pattern	S wind	N wind	G wind	S wind new	N wind new	G wind new
M07,D18,H18	1,06	7,84	8,27	1,06	7,84	8,27
M07,D18,H19	1,07	8,57	8,49	1,07	8,57	8,49
M07,D18,H20	1,16	8,13	8,15	1,16	8,13	8,15
M07,D18,H21	1,24	7,69	7,82	1,24	7,69	7,82
M07,D18,H22	1,33	7,26	7,48	1,33	7,26	7,48
M07,D18,H23	1,41	6,82	7,15	1,41	6,82	7,15
M07,D18,H24	1,50	6,38	6,81	1,50	6,38	6,81
M07,D19,H01	1,59	5,95	6,48	1,59	5,95	6,48
M07,D19,H02	1,76	7,15	6,13	1,76	7,15	6,13
M07,D19,H03	1,93	8,35	5,79	1,93	8,35	5,79
M07,D19,H04	2,10	9,56	5,45	2,10	9,56	5,45
M07,D19,H05	2,27	10,80	5,11	2,27	10,80	5,11
M07,D19,H06	2,45	12,00	4,76	2,45	12,00	4,76
M07,D19,H07	2,62	13,20	4,42	2,62	13,20	4,42
M07,D19,H08	3,16	15,80	5,00	3,16	15,80	5,00
M07,D19,H09	3,71	18,50	5,58	3,71	18,50	5,58
M07,D19,H10	4,25	21,10	6,16	4,25	21,10	6,16
M07,D19,H11	4,80	23,80	6,74	4,80	23,80	6,74
M07,D19,H12	5,34	26,40	7,32	5,34	26,40	7,32
M07,D19,H13	5,89	29,10	7,90	5,89	29,10	7,90
M07,D19,H14	5,87	27,10	7,12	5,87	27,10	7,12
M07,D19,H15	5,86	25,00	6,34	5,86	25,00	6,34
M07,D19,H16	5,84	23,00	5,56	5,84	23,00	5,56
M07,D19,H17	5,83	20,90	4,78	5,83	20,90	4,78
M07,D19,H18	5,81	18,90	4,01	5,81	18,90	4,01
M07,D19,H19	5,80	16,90	3,23	5,80	16,90	3,23
M07,D19,H20	5,92	20,40	4,00	5,92	20,40	4,00
M07,D19,H21	6,04	23,90	4,77	6,04	23,90	4,77
M07,D19,H22	6,16	27,40	5,55	6,16	27,40	5,55
M07,D19,H23	6,28	30,90	6,32	6,28	30,90	6,32
M07,D19,H24	6,40	34,40	7,10	6,40	34,40	7,10
M07,D20,H01	6,52	37,90	7,87	6,52	37,90	7,87
M07,D20,H02	7,01	39,00	7,86	7,01	39,00	7,86
M07,D20,H03	7,49	40,20	7,85	7,49	40,20	7,85
M07,D20,H04	7,97	41,40	7,84	7,97	41,40	7,84
M07,D20,H05	8,45	42,50	7,83	8,45	42,50	7,83
M07,D20,H06	8,93	43,70	7,82	8,93	43,70	7,82
M07,D20,H07	9,41	44,90	7,81	9,41	44,90	7,81
M07,D20,H08	13,30	46,90	7,89	13,30	46,90	7,89
M07,D20,H09	17,20	49,00	7,96	17,20	49,00	7,96
M07,D20,H10	21,10	51,10	8,04	21,10	51,10	8,04
M07,D20,H11	25,00	53,20	8,11	25,00	53,20	8,11
M07,D20,H12	28,90	55,30	8,19	28,90	55,30	8,19
M07,D20,H13	32,80	57,40	8,27	32,80	57,40	8,27
M07,D20,H14	31,40	56,80	7,26	31,40	56,80	7,26
M07,D20,H15	29,90	56,20	6,25	29,90	56,20	6,25
M07,D20,H16	28,50	55,70	5,24	28,50	55,70	5,24
M07,D20,H17	27,10	55,10	4,23	27,10	55,10	4,23
M07,D20,H18	25,70	54,50	3,22	25,70	54,50	3,22
M07,D20,H19	24,30	54,00	2,21	24,30	54,00	2,21
M07,D20,H20	22,80	49,20	2,12	22,80	49,20	2,12
M07,D20,H21	21,30	44,50	2,03	21,30	44,50	2,03
M07,D20,H22	19,90	39,80	1,93	19,90	39,80	1,93
M07,D20,H23	18,40	35,00	1,84	18,40	35,00	1,84
M07,D20,H24	16,90	30,30	1,75	16,90	30,30	1,75
M07,D21,H01	15,50	25,60	1,65	15,50	25,60	1,65
M07,D21,H02	14,40	28,90	2,29	14,40	28,90	2,29
M07,D21,H03	13,30	32,30	2,93	13,30	32,30	2,93
M07,D21,H04	12,20	35,60	3,57	12,20	35,60	3,57
M07,D21,H05	11,10	39,00	4,21	11,10	39,00	4,21
M07,D21,H06	9,98	42,30	4,85	9,98	42,30	4,85
M07,D21,H07	8,88	45,70	5,48	8,88	45,70	5,48
M07,D21,H08	8,68	49,70	6,90	8,68	49,70	6,90
M07,D21,H09	8,49	53,70	8,31	8,49	53,70	8,31
M07,D21,H10	8,29	57,70	9,73	8,29	57,70	9,73
M07,D21,H11	8,10	61,70	11,10	8,10	61,70	11,10
M07,D21,H12	7,90	65,70	12,60	7,90	65,70	12,60
M07,D21,H13	7,71	69,70	14,00	7,71	69,70	14,00
M07,D21,H14	10,60	71,20	14,90	10,60	71,20	14,90
M07,D21,H15	13,60	72,70	15,90	13,60	72,70	15,90
M07,D21,H16	16,50	74,30	16,90	16,50	74,30	16,90
M07,D21,H17	19,40	75,80	17,80	19,40	75,80	17,80
M07,D21,H18	22,40	77,30	18,80	22,40	77,30	18,80
M07,D21,H19	25,30	78,90	19,80	25,30	78,90	19,80
M07,D21,H20	28,00	75,90	18,90	28,00	75,90	18,90
M07,D21,H21	30,70	73,00	18,00	30,70	73,00	18,00
M07,D21,H22	33,40	70,10	17,20	33,40	70,10	17,20
M07,D21,H23	36,10	67,10	16,30	36,10	67,10	16,30
M07,D21,H24	38,80	64,20	15,50	38,80	64,20	15,50
M07,D22,H01	41,60	61,30	14,60	41,60	61,30	14,60
M07,D22,H02	43,70	64,10	12,90	43,70	64,10	12,90
M07,D22,H03	45,80	66,90	11,20	45,80	66,90	11,20
M07,D22,H04	47,90	69,70	9,50	47,90	69,70	9,50
M07,D22,H05	50,00	72,50	7,80	50,00	72,50	7,80
M07,D22,H06	52,10	75,40	6,10	52,10	75,40	6,10
M07,D22,H07	54,20	78,20	4,39	54,20	78,20	4,39
M07,D22,H08	54,20	78,10	4,96	54,20	78,10	4,96
M07,D22,H09	54,10	78,00	5,53	54,10	78,00	5,53
M07,D22,H10	54,10	77,90	6,10	54,10	77,90	6,10
M07,D22,H11	54,00	77,90	6,67	54,00	77,90	6,67
M07,D22,H12	54,00	77,80	7,23	54,00	77,80	7,23
M07,D22,H13	54,00	77,70	7,80	54,00	77,70	7,80
M07,D22,H14	50,70	75,00	8,12	50,70	75,00	8,12
M07,D22,H15	47,50	72,20	8,44	47,50	72,20	8,44
M07,D22,H16	44,30	69,40	8,76	44,30	69,40	8,76
M07,D22,H17	41,10	66,70	9,08	41,10	66,70	9,08
M07,D22,H18	37,90	63,90	9,40	37,90	63,90	9,40
M07,D22,H19	34,70	61,10	9,72	34,70	61,10	9,72
M07,D22,H20	33,80	59,00	9,41	33,80	59,00	9,41
M07,D22,H21	32,90	56,90	9,10	32,90	56,90	9,10
M07,D22,H22	32,10	54,80	8,79	32,10	54,80	8,79
M07,D22,H23	31,20	52,70	8,48	31,20	52,70	8,48
M07,D22,H24	30,30	50,60	8,17	30,30	50,60	8,17
M07,D23,H01	29,40	48,50	7,86	29,40	48,50	7,86
M07,D23,H02	27,90	47,40	7,86	27,90	47,40	7,86
M07,D23,H03	26,40	46,30	7,85	26,40	46,30	7,85
M07,D23,H04	24,90	45,10	7,85	24,90	45,10	7,85
M07,D23,H05	23,40	44,00	7,84	23,40	44,00	7,84
M07,D23,H06	21,90	42,90	7,83	21,90	42,90	7,83
M07,D23,H07	20,40	41,70	7,83	20,40	41,70	7,83
M07,D23,H08	21,30	43,40	6,92	21,30	43,40	6,92
M07,D23,H09	22,20	45,10	6,01	22,20	45,10	6,01
M07,D23,H10	23,10	46,80	5,10	23,10	46,80	5,10
M07,D23,H11	23,90	48,50	4,19	23,90	48,50	4,19
M07,D23,H12	24,80	50,20	3,28	24,80	50,20	3,28
M07,D23,H13	25,70	51,90	2,37	25,70	51,90	2,37
M07,D23,H14	25,00	49,10	2,08	25,00	49,10	2,08
M07,D23,H15	24,40	46,40	1,78	24,40	46,40	1,78
M07,D23,H16	23,70	43,60	1,48	23,70	43,60	1,48
M07,D23,H17	23,10	40,90	1,19	23,10	40,90	1,19
M07,D23,H18	22,40	38,10	0,89	22,40	38,10	0,89
M07,D23,H19	21,70	35,40	0,59	21,70	35,40	0,59
M07,D23,H20	21,10	33,60	0,77	21,10	33,60	0,77
M07,D23,H21	20,40	31,90	0,95	20,40	31,90	0,95
M07,D23,H22	19,70	30,10	1,13	19,70	30,10	1,13
M07,D23,H23	19,00	28,40	1,31	19,00	28,40	1,31
M07,D23,H24	18,30	26,60	1,49	18,30	26,60	1,49
M07,D24,H01	17,60	24,80	1,67	17,60	24,80	1,67
M07,D24,H02	15,50	23,30	1,52	15,50	23,30	1,52
M07,D24,H03	13,40	21,70	1,38	13,40	21,70	1,38
M07,D24,H04	11,20	20,10	1,23	11,20	20,10	1,23
M07,D24,H05	9,14	18,60	1,09	9,14	18,60	1,09
M07,D24,H06	7,02	17,00	0,94	7,02	17,00	0,94
M07,D24,H07	4,91	15,40	0,80	4,91	15,40	0,80
M07,D24,H08	5,29	14,90	1,16	5,29	14,90	1,16
M07,D24,H09	5,67	14,40	1,53	5,67	14,40	1,53
M07,D24,H10	6,05	13,90	1,89	6,05	13,90	1,89
M07,D24,H11	6,43	13,40	2,25	6,43	13,40	2,25
M07,D24,H12	6,81	12,80	2,62	6,81	12,80	2,62
M07,D24,H13	7,19	12,30	2,98	7,19	12,30	2,98
M07,D24,H14	7,42	11,00	3,25	7,42	11,00	3,25
M07,D24,H15	7,64	9,62	3,52	7,64	9,62	3,52
M07,D24,H16	7,87	8,26	3,79	7,87	8,26	3,79
M07,D24,H17	8,10	6,91	4,05	8,10	6,91	4,05
M07,D24,H18	8,32	5,55	4,32	8,32	5,55	4,32
M07,D24,H19	8,55	4,20	4,59	8,55	4,20	4,59
M07,D24,H20	7,85	5,20	4,73	7,85	5,20	4,73
M07,D24,H21	7,15	6,20	4,87	7,15	6,20	4,87
M07,D24,H22	6,46	7,19	5,01	6,46	7,19	5,01
M07,D24,H23	5,76	8,19	5,15	5,76	8,19	5,15
M07,D24,H24	5,06	9,19	5,29	5,06	9,19	5,29
M07,D25,H01	4,37	10,20	5,43	4,37	10,20	5,43
M07,D25,H02	4,25	14,50	5,32	4,25	14,50	5,32
M07,D25,H03	4,13	18,80	5,21	4,13	18,80	5,21
M07,D25,H04	4,01	23,10	5,10	4,01	23,10	5,10
M07,D25,H05	3,89	27,40	4,99	3,89	27,40	4,99
M07,D25,H06	3,77	31,70	4,88	3,77	31,70	4,88
M07,D25,H07	3,65	36,10	4,77	3,65	36,10	4,77
M07,D25,H08	3,58	43,30	4,75	3,58	43,30	4,75
M07,D25,H09	3,51	50,50	4,72	3,51	50,50	4,72
M07,D25,H10	3,44	57,80	4,70	3,44	57,80	4,70
M07,D25,H11	3,37	65,00	4,68	3,37	65,00	4,68
M07,D25,H12	3,30	72,30	4,65	3,30	72,30	4,65
M07,D25,H13	3,24	79,50	4,63	3,24	79,50	4,63
M07,D25,H14	3,33	78,80	4,59	3,33	78,80	4,59
M07,D25,H15	3,41	78,20	4,56	3,41	78,20	4,56
M07,D25,H16	3,50	77,60	4,53	3,50	77,60	4,53
M07,D25,H17	3,59	76,90	4,49	3,59	76,90	4,49
M07,D25,H18	3,68	76,30	4,46	3,68	76,30	4,46
M07,D25,H19	3,77	75,60	4,43	3,77	75,60	4,43
M07,D25,H20	5,56	77,00	5,03	5,56	77,00	5,03
M07,D25,H21	7,34	78,40	5,63	7,34	78,40	5,63
