Pattern	G solar	G solar new
M06,D25,H23	0,01	0,01
M06,D25,H24	0,01	0,01
M06,D26,H01	0,01	0,01
M06,D26,H02	0,01	0,01
M06,D26,H03	0,01	0,01
M06,D26,H04	0,52	0,52
M06,D26,H05	3,00	3,00
M06,D26,H06	7,17	7,17
M06,D26,H07	12,80	12,80
M06,D26,H08	18,40	18,40
M06,D26,H09	23,10	23,10
M06,D26,H10	26,30	26,30
M06,D26,H11	27,70	27,70
M06,D26,H12	27,90	27,90
M06,D26,H13	27,30	27,30
M06,D26,H14	25,20	25,20
M06,D26,H15	21,40	21,40
M06,D26,H16	16,20	16,20
M06,D26,H17	10,50	10,50
M06,D26,H18	5,17	5,17
M06,D26,H19	1,98	1,98
M06,D26,H20	0,01	0,01
M06,D26,H21	0,01	0,01
M06,D26,H22	0,01	0,01
M06,D26,H23	0,01	0,01
M06,D26,H24	0,01	0,01
M06,D27,H01	0,01	0,01
M06,D27,H02	0,01	0,01
M06,D27,H03	0,01	0,01
M06,D27,H04	0,54	0,54
M06,D27,H05	3,18	3,18
M06,D27,H06	12,70	12,70
M06,D27,H07	25,90	25,90
M06,D27,H08	38,30	38,30
M06,D27,H09	47,70	47,70
M06,D27,H10	53,10	53,10
M06,D27,H11	54,90	54,90
M06,D27,H12	55,20	55,20
M06,D27,H13	54,50	54,50
M06,D27,H14	51,40	51,40
M06,D27,H15	44,40	44,40
M06,D27,H16	33,60	33,60
M06,D27,H17	20,60	20,60
M06,D27,H18	7,63	7,63
M06,D27,H19	2,09	2,09
M06,D27,H20	0,01	0,01
M06,D27,H21	0,01	0,01
M06,D27,H22	0,01	0,01
M06,D27,H23	0,01	0,01
M06,D27,H24	0,01	0,01
M06,D28,H01	0,01	0,01
M06,D28,H02	0,01	0,01
M06,D28,H03	0,01	0,01
M06,D28,H04	0,53	0,53
M06,D28,H05	3,14	3,14
M06,D28,H06	8,09	8,09
M06,D28,H07	14,80	14,80
M06,D28,H08	21,40	21,40
M06,D28,H09	26,90	26,90
M06,D28,H10	30,40	30,40
M06,D28,H11	32,00	32,00
M06,D28,H12	32,20	32,20
M06,D28,H13	31,50	31,50
M06,D28,H14	29,30	29,30
M06,D28,H15	24,90	24,90
M06,D28,H16	18,80	18,80
M06,D28,H17	12,00	12,00
M06,D28,H18	5,66	5,66
M06,D28,H19	2,06	2,06
M06,D28,H20	0,01	0,01
M06,D28,H21	0,01	0,01
M06,D28,H22	0,01	0,01
M06,D28,H23	0,01	0,01
M06,D28,H24	0,01	0,01
M06,D29,H01	0,01	0,01
M06,D29,H02	0,01	0,01
M06,D29,H03	0,01	0,01
M06,D29,H04	0,52	0,52
M06,D29,H05	3,17	3,17
M06,D29,H06	8,61	8,61
M06,D29,H07	16,00	16,00
M06,D29,H08	23,30	23,30
M06,D29,H09	29,30	29,30
M06,D29,H10	33,00	33,00
M06,D29,H11	34,60	34,60
M06,D29,H12	34,90	34,90
M06,D29,H13	34,20	34,20
M06,D29,H14	31,80	31,80
M06,D29,H15	27,10	27,10
M06,D29,H16	20,50	20,50
M06,D29,H17	13,00	13,00
M06,D29,H18	5,90	5,90
M06,D29,H19	2,08	2,08
M06,D29,H20	0,01	0,01
M06,D29,H21	0,01	0,01
M06,D29,H22	0,01	0,01
M06,D29,H23	0,01	0,01
M06,D29,H24	0,01	0,01
M06,D30,H01	0,01	0,01
M06,D30,H02	0,01	0,01
M06,D30,H03	0,01	0,01
M06,D30,H04	0,48	0,48
M06,D30,H05	2,98	2,98
M06,D30,H06	7,30	7,30
M06,D30,H07	13,10	13,10
M06,D30,H08	19,00	19,00
M06,D30,H09	23,90	23,90
M06,D30,H10	27,10	27,10
M06,D30,H11	28,50	28,50
M06,D30,H12	28,80	28,80
M06,D30,H13	28,10	28,10
M06,D30,H14	26,00	26,00
M06,D30,H15	22,10	22,10
M06,D30,H16	16,70	16,70
M06,D30,H17	10,70	10,70
M06,D30,H18	5,21	5,21
M06,D30,H19	1,95	1,95
M06,D30,H20	0,01	0,01
M06,D30,H21	0,01	0,01
M06,D30,H22	0,01	0,01
M06,D30,H23	0,01	0,01
M06,D30,H24	0,01	0,01
M07,D01,H01	0,01	0,01
M07,D01,H02	0,01	0,01
M07,D01,H03	0,01	0,01
M07,D01,H04	0,42	0,42
M07,D01,H05	2,68	2,68
M07,D01,H06	14,90	14,90
M07,D01,H07	32,30	32,30
M07,D01,H08	48,20	48,20
M07,D01,H09	60,00	60,00
M07,D01,H10	66,40	66,40
M07,D01,H11	68,30	68,30
M07,D01,H12	68,50	68,50
M07,D01,H13	68,00	68,00
M07,D01,H14	64,50	64,50
M07,D01,H15	55,90	55,90
M07,D01,H16	42,20	42,20
M07,D01,H17	25,40	25,40
M07,D01,H18	8,20	8,20
M07,D01,H19	1,74	1,74
M07,D01,H20	0,01	0,01
M07,D01,H21	0,01	0,01
M07,D01,H22	0,01	0,01
M07,D01,H23	0,01	0,01
M07,D01,H24	0,01	0,01
M07,D02,H01	0,01	0,01
M07,D02,H02	0,01	0,01
M07,D02,H03	0,01	0,01
M07,D02,H04	0,46	0,46
M07,D02,H05	3,05	3,05
M07,D02,H06	7,91	7,91
M07,D02,H07	14,50	14,50
M07,D02,H08	21,10	21,10
M07,D02,H09	26,50	26,50
M07,D02,H10	30,00	30,00
M07,D02,H11	31,60	31,60
M07,D02,H12	31,90	31,90
M07,D02,H13	31,20	31,20
M07,D02,H14	28,90	28,90
M07,D02,H15	24,60	24,60
M07,D02,H16	18,50	18,50
M07,D02,H17	11,80	11,80
M07,D02,H18	5,52	5,52
M07,D02,H19	1,98	1,98
M07,D02,H20	0,01	0,01
M07,D02,H21	0,01	0,01
M07,D02,H22	0,01	0,01
M07,D02,H23	0,01	0,01
M07,D02,H24	0,01	0,01
M07,D03,H01	0,01	0,01
M07,D03,H02	0,01	0,01
M07,D03,H03	0,01	0,01
M07,D03,H04	0,39	0,39
M07,D03,H05	2,67	2,67
M07,D03,H06	5,72	5,72
M07,D03,H07	9,73	9,73
M07,D03,H08	14,00	14,00
M07,D03,H09	17,70	17,70
M07,D03,H10	20,20	20,20
M07,D03,H11	21,50	21,50
M07,D03,H12	21,80	21,80
M07,D03,H13	21,10	21,10
M07,D03,H14	19,40	19,40
M07,D03,H15	16,30	16,30
M07,D03,H16	12,30	12,30
M07,D03,H17	8,06	8,06
M07,D03,H18	4,32	4,32
M07,D03,H19	1,73	1,73
M07,D03,H20	0,01	0,01
M07,D03,H21	0,01	0,01
M07,D03,H22	0,01	0,01
M07,D03,H23	0,01	0,01
M07,D03,H24	0,01	0,01
M07,D04,H01	0,01	0,01
M07,D04,H02	0,01	0,01
M07,D04,H03	0,01	0,01
M07,D04,H04	0,36	0,36
M07,D04,H05	2,59	2,59
M07,D04,H06	5,47	5,47
M07,D04,H07	9,24	9,24
M07,D04,H08	13,30	13,30
M07,D04,H09	16,80	16,80
M07,D04,H10	19,30	19,30
M07,D04,H11	20,50	20,50
M07,D04,H12	20,80	20,80
M07,D04,H13	20,10	20,10
M07,D04,H14	18,40	18,40
M07,D04,H15	15,50	15,50
M07,D04,H16	11,70	11,70
M07,D04,H17	7,67	7,67
M07,D04,H18	4,17	4,17
M07,D04,H19	1,67	1,67
M07,D04,H20	0,01	0,01
M07,D04,H21	0,01	0,01
M07,D04,H22	0,01	0,01
M07,D04,H23	0,01	0,01
M07,D04,H24	0,01	0,01
M07,D05,H01	0,01	0,01
M07,D05,H02	0,01	0,01
M07,D05,H03	0,01	0,01
M07,D05,H04	0,33	0,33
M07,D05,H05	2,49	2,49
M07,D05,H06	5,18	5,18
M07,D05,H07	8,70	8,70
M07,D05,H08	12,50	12,50
M07,D05,H09	15,80	15,80
M07,D05,H10	18,20	18,20
M07,D05,H11	19,40	19,40
M07,D05,H12	19,60	19,60
M07,D05,H13	19,00	19,00
M07,D05,H14	17,40	17,40
M07,D05,H15	14,60	14,60
M07,D05,H16	11,00	11,00
M07,D05,H17	7,22	7,22
M07,D05,H18	3,97	3,97
M07,D05,H19	1,60	1,60
M07,D05,H20	0,01	0,01
M07,D05,H21	0,01	0,01
M07,D05,H22	0,01	0,01
M07,D05,H23	0,01	0,01
M07,D05,H24	0,01	0,01
M07,D06,H01	0,01	0,01
M07,D06,H02	0,01	0,01
M07,D06,H03	0,01	0,01
M07,D06,H04	0,37	0,37
M07,D06,H05	2,94	2,94
M07,D06,H06	7,72	7,72
M07,D06,H07	14,20	14,20
M07,D06,H08	20,80	20,80
M07,D06,H09	26,20	26,20
M07,D06,H10	29,70	29,70
M07,D06,H11	31,30	31,30
M07,D06,H12	31,60	31,60
M07,D06,H13	30,80	30,80
M07,D06,H14	28,60	28,60
M07,D06,H15	24,20	24,20
M07,D06,H16	18,30	18,30
M07,D06,H17	11,60	11,60
M07,D06,H18	5,36	5,36
M07,D06,H19	1,88	1,88
M07,D06,H20	0,01	0,01
M07,D06,H21	0,01	0,01
M07,D06,H22	0,01	0,01
M07,D06,H23	0,01	0,01
M07,D06,H24	0,01	0,01
M07,D07,H01	0,01	0,01
M07,D07,H02	0,01	0,01
M07,D07,H03	0,01	0,01
M07,D07,H04	0,30	0,30
M07,D07,H05	2,54	2,54
M07,D07,H06	14,90	14,90
M07,D07,H07	32,80	32,80
M07,D07,H08	49,20	49,20
M07,D07,H09	61,50	61,50
M07,D07,H10	68,10	68,10
M07,D07,H11	70,20	70,20
M07,D07,H12	70,40	70,40
M07,D07,H13	69,80	69,80
M07,D07,H14	66,10	66,10
M07,D07,H15	57,20	57,20
M07,D07,H16	43,00	43,00
M07,D07,H17	25,70	25,70
M07,D07,H18	8,02	8,02
M07,D07,H19	1,61	1,61
M07,D07,H20	0,01	0,01
M07,D07,H21	0,01	0,01
M07,D07,H22	0,01	0,01
M07,D07,H23	0,01	0,01
M07,D07,H24	0,01	0,01
M07,D08,H01	0,01	0,01
M07,D08,H02	0,01	0,01
M07,D08,H03	0,01	0,01
M07,D08,H04	0,27	0,27
M07,D08,H05	2,46	2,46
M07,D08,H06	15,10	15,10
M07,D08,H07	33,30	33,30
M07,D08,H08	50,10	50,10
M07,D08,H09	62,60	62,60
M07,D08,H10	69,40	69,40
M07,D08,H11	71,50	71,50
M07,D08,H12	71,60	71,60
M07,D08,H13	71,00	71,00
M07,D08,H14	67,30	67,30
M07,D08,H15	58,20	58,20
M07,D08,H16	43,80	43,80
M07,D08,H17	26,00	26,00
M07,D08,H18	8,00	8,00
M07,D08,H19	1,55	1,55
M07,D08,H20	0,01	0,01
M07,D08,H21	0,01	0,01
M07,D08,H22	0,01	0,01
M07,D08,H23	0,01	0,01
M07,D08,H24	0,01	0,01
M07,D09,H01	0,01	0,01
M07,D09,H02	0,01	0,01
M07,D09,H03	0,01	0,01
M07,D09,H04	0,26	0,26
M07,D09,H05	2,62	2,62
M07,D09,H06	14,20	14,20
M07,D09,H07	30,90	30,90
M07,D09,H08	46,30	46,30
M07,D09,H09	58,00	58,00
M07,D09,H10	64,40	64,40
M07,D09,H11	66,60	66,60
M07,D09,H12	66,80	66,80
M07,D09,H13	66,10	66,10
M07,D09,H14	62,50	62,50
M07,D09,H15	53,90	53,90
M07,D09,H16	40,50	40,50
M07,D09,H17	24,20	24,20
M07,D09,H18	7,74	7,74
M07,D09,H19	1,64	1,64
M07,D09,H20	0,01	0,01
M07,D09,H21	0,01	0,01
M07,D09,H22	0,01	0,01
M07,D09,H23	0,01	0,01
M07,D09,H24	0,01	0,01
M07,D10,H01	0,01	0,01
M07,D10,H02	0,01	0,01
M07,D10,H03	0,01	0,01
M07,D10,H04	0,25	0,25
M07,D10,H05	2,74	2,74
M07,D10,H06	13,70	13,70
M07,D10,H07	29,70	29,70
M07,D10,H08	44,50	44,50
M07,D10,H09	55,70	55,70
M07,D10,H10	62,10	62,10
M07,D10,H11	64,20	64,20
M07,D10,H12	64,50	64,50
M07,D10,H13	63,70	63,70
M07,D10,H14	60,10	60,10
M07,D10,H15	51,80	51,80
M07,D10,H16	38,90	38,90
M07,D10,H17	23,30	23,30
M07,D10,H18	7,64	7,64
M07,D10,H19	1,71	1,71
M07,D10,H20	0,01	0,01
M07,D10,H21	0,01	0,01
M07,D10,H22	0,01	0,01
M07,D10,H23	0,01	0,01
M07,D10,H24	0,01	0,01
M07,D11,H01	0,01	0,01
M07,D11,H02	0,01	0,01
M07,D11,H03	0,01	0,01
M07,D11,H04	0,23	0,23
M07,D11,H05	2,89	2,89
M07,D11,H06	12,30	12,30
M07,D11,H07	26,00	26,00
M07,D11,H08	38,90	38,90
M07,D11,H09	48,80	48,80
M07,D11,H10	54,60	54,60
M07,D11,H11	56,70	56,70
M07,D11,H12	57,00	57,00
M07,D11,H13	56,20	56,20
M07,D11,H14	52,80	52,80
M07,D11,H15	45,30	45,30
M07,D11,H16	34,00	34,00
M07,D11,H17	20,50	20,50
M07,D11,H18	7,19	7,19
M07,D11,H19	1,79	1,79
M07,D11,H20	0,01	0,01
M07,D11,H21	0,01	0,01
M07,D11,H22	0,01	0,01
M07,D11,H23	0,01	0,01
M07,D11,H24	0,01	0,01
M07,D12,H01	0,01	0,01
M07,D12,H02	0,01	0,01
M07,D12,H03	0,01	0,01
M07,D12,H04	0,20	0,20
M07,D12,H05	2,96	2,96
M07,D12,H06	10,70	10,70
M07,D12,H07	21,70	21,70
M07,D12,H08	32,20	32,20
M07,D12,H09	40,60	40,60
M07,D12,H10	45,70	45,70
M07,D12,H11	47,70	47,70
M07,D12,H12	48,00	48,00
M07,D12,H13	47,20	47,20
M07,D12,H14	44,10	44,10
M07,D12,H15	37,60	37,60
M07,D12,H16	28,20	28,20
M07,D12,H17	17,20	17,20
M07,D12,H18	6,55	6,55
M07,D12,H19	1,82	1,82
M07,D12,H20	0,01	0,01
M07,D12,H21	0,01	0,01
M07,D12,H22	0,01	0,01
M07,D12,H23	0,01	0,01
M07,D12,H24	0,01	0,01
M07,D13,H01	0,01	0,01
M07,D13,H02	0,01	0,01
M07,D13,H03	0,01	0,01
M07,D13,H04	0,17	0,17
M07,D13,H05	2,91	2,91
M07,D13,H06	10,30	10,30
M07,D13,H07	21,00	21,00
M07,D13,H08	31,20	31,20
M07,D13,H09	39,40	39,40
M07,D13,H10	44,40	44,40
M07,D13,H11	46,40	46,40
M07,D13,H12	46,70	46,70
M07,D13,H13	45,80	45,80
M07,D13,H14	42,80	42,80
M07,D13,H15	36,50	36,50
M07,D13,H16	27,30	27,30
M07,D13,H17	16,70	16,70
M07,D13,H18	6,38	6,38
M07,D13,H19	1,77	1,77
M07,D13,H20	0,01	0,01
M07,D13,H21	0,01	0,01
M07,D13,H22	0,01	0,01
M07,D13,H23	0,01	0,01
M07,D13,H24	0,01	0,01
M07,D14,H01	0,01	0,01
M07,D14,H02	0,01	0,01
M07,D14,H03	0,01	0,01
M07,D14,H04	0,12	0,12
M07,D14,H05	2,64	2,64
M07,D14,H06	6,98	6,98
M07,D14,H07	13,00	13,00
M07,D14,H08	19,10	19,10
M07,D14,H09	24,20	24,20
M07,D14,H10	27,60	27,60
M07,D14,H11	29,20	29,20
M07,D14,H12	29,50	29,50
M07,D14,H13	28,80	28,80
M07,D14,H14	26,50	26,50
M07,D14,H15	22,40	22,40
M07,D14,H16	16,70	16,70
M07,D14,H17	10,50	10,50
M07,D14,H18	4,84	4,84
M07,D14,H19	1,60	1,60
M07,D14,H20	0,01	0,01
M07,D14,H21	0,01	0,01
M07,D14,H22	0,01	0,01
M07,D14,H23	0,01	0,01
M07,D14,H24	0,01	0,01
M07,D15,H01	0,01	0,01
M07,D15,H02	0,01	0,01
M07,D15,H03	0,01	0,01
M07,D15,H04	0,08	0,08
M07,D15,H05	2,59	2,59
M07,D15,H06	6,52	6,52
M07,D15,H07	11,90	11,90
M07,D15,H08	17,50	17,50
M07,D15,H09	22,30	22,30
M07,D15,H10	25,50	25,50
M07,D15,H11	27,00	27,00
M07,D15,H12	27,30	27,30
M07,D15,H13	26,60	26,60
M07,D15,H14	24,40	24,40
M07,D15,H15	20,50	20,50
M07,D15,H16	15,30	15,30
M07,D15,H17	9,68	9,68
M07,D15,H18	4,62	4,62
M07,D15,H19	1,55	1,55
M07,D15,H20	0,01	0,01
M07,D15,H21	0,01	0,01
M07,D15,H22	0,01	0,01
M07,D15,H23	0,01	0,01
M07,D15,H24	0,01	0,01
M07,D16,H01	0,01	0,01
M07,D16,H02	0,01	0,01
M07,D16,H03	0,01	0,01
M07,D16,H04	0,04	0,04
M07,D16,H05	2,46	2,46
M07,D16,H06	6,03	6,03
M07,D16,H07	10,90	10,90
M07,D16,H08	16,00	16,00
M07,D16,H09	20,40	20,40
M07,D16,H10	23,40	23,40
M07,D16,H11	24,90	24,90
M07,D16,H12	25,10	25,10
M07,D16,H13	24,40	24,40
M07,D16,H14	22,40	22,40
M07,D16,H15	18,70	18,70
M07,D16,H16	14,00	14,00
M07,D16,H17	8,86	8,86
M07,D16,H18	4,33	4,33
M07,D16,H19	1,46	1,46
M07,D16,H20	0,01	0,01
M07,D16,H21	0,01	0,01
M07,D16,H22	0,01	0,01
M07,D16,H23	0,01	0,01
M07,D16,H24	0,01	0,01
M07,D17,H01	0,01	0,01
M07,D17,H02	0,01	0,01
M07,D17,H03	0,01	0,01
M07,D17,H04	0,01	0,01
M07,D17,H05	2,27	2,27
M07,D17,H06	5,12	5,12
M07,D17,H07	8,91	8,91
M07,D17,H08	13,00	13,00
M07,D17,H09	16,70	16,70
M07,D17,H10	19,20	19,20
M07,D17,H11	20,60	20,60
M07,D17,H12	20,90	20,90
M07,D17,H13	20,20	20,20
M07,D17,H14	18,40	18,40
M07,D17,H15	15,30	15,30
M07,D17,H16	11,40	11,40
M07,D17,H17	7,32	7,32
M07,D17,H18	3,83	3,83
M07,D17,H19	1,33	1,33
M07,D17,H20	0,01	0,01
M07,D17,H21	0,01	0,01
M07,D17,H22	0,01	0,01
M07,D17,H23	0,01	0,01
M07,D17,H24	0,01	0,01
M07,D18,H01	0,01	0,01
M07,D18,H02	0,01	0,01
M07,D18,H03	0,01	0,01
M07,D18,H04	0,01	0,01
M07,D18,H05	2,39	2,39
M07,D18,H06	5,84	5,84
M07,D18,H07	10,50	10,50
M07,D18,H08	15,50	15,50
M07,D18,H09	19,80	19,80
M07,D18,H10	22,80	22,80
M07,D18,H11	24,30	24,30
M07,D18,H12	24,60	24,60
M07,D18,H13	23,90	23,90
M07,D18,H14	21,80	21,80
M07,D18,H15	18,20	18,20
M07,D18,H16	13,50	13,50
M07,D18,H17	8,58	8,58
M07,D18,H18	4,21	4,21
M07,D18,H19	1,39	1,39
M07,D18,H20	0,01	0,01
M07,D18,H21	0,01	0,01
M07,D18,H22	0,01	0,01
M07,D18,H23	0,01	0,01
M07,D18,H24	0,01	0,01
M07,D19,H01	0,01	0,01
M07,D19,H02	0,01	0,01
M07,D19,H03	0,01	0,01
M07,D19,H04	0,01	0,01
M07,D19,H05	2,29	2,29
M07,D19,H06	5,55	5,55
M07,D19,H07	9,97	9,97
M07,D19,H08	14,70	14,70
M07,D19,H09	18,80	18,80
M07,D19,H10	21,70	21,70
M07,D19,H11	23,10	23,10
M07,D19,H12	23,40	23,40
M07,D19,H13	22,70	22,70
M07,D19,H14	20,70	20,70
M07,D19,H15	17,30	17,30
M07,D19,H16	12,80	12,80
M07,D19,H17	8,13	8,13
M07,D19,H18	4,03	4,03
M07,D19,H19	1,31	1,31
M07,D19,H20	0,01	0,01
M07,D19,H21	0,01	0,01
M07,D19,H22	0,01	0,01
M07,D19,H23	0,01	0,01
M07,D19,H24	0,01	0,01
M07,D20,H01	0,01	0,01
M07,D20,H02	0,01	0,01
M07,D20,H03	0,01	0,01
M07,D20,H04	0,01	0,01
M07,D20,H05	2,53	2,53
M07,D20,H06	7,67	7,67
M07,D20,H07	15,00	15,00
M07,D20,H08	22,40	22,40
M07,D20,H09	28,60	28,60
M07,D20,H10	32,60	32,60
M07,D20,H11	34,50	34,50
M07,D20,H12	34,80	34,80
M07,D20,H13	34,00	34,00
M07,D20,H14	31,30	31,30
M07,D20,H15	26,30	26,30
M07,D20,H16	19,50	19,50
M07,D20,H17	12,00	12,00
M07,D20,H18	5,03	5,03
M07,D20,H19	1,43	1,43
M07,D20,H20	0,01	0,01
M07,D20,H21	0,01	0,01
M07,D20,H22	0,01	0,01
M07,D20,H23	0,01	0,01
M07,D20,H24	0,01	0,01
M07,D21,H01	0,01	0,01
M07,D21,H02	0,01	0,01
M07,D21,H03	0,01	0,01
M07,D21,H04	0,01	0,01
M07,D21,H05	2,53	2,53
M07,D21,H06	8,18	8,18
M07,D21,H07	16,30	16,30
M07,D21,H08	24,50	24,50
M07,D21,H09	31,30	31,30
M07,D21,H10	35,60	35,60
M07,D21,H11	37,60	37,60
M07,D21,H12	38,00	38,00
M07,D21,H13	37,10	37,10
M07,D21,H14	34,20	34,20
M07,D21,H15	28,80	28,80
M07,D21,H16	21,40	21,40
M07,D21,H17	13,00	13,00
M07,D21,H18	5,22	5,22
M07,D21,H19	1,41	1,41
M07,D21,H20	0,01	0,01
M07,D21,H21	0,01	0,01
M07,D21,H22	0,01	0,01
M07,D21,H23	0,01	0,01
M07,D21,H24	0,01	0,01
M07,D22,H01	0,01	0,01
M07,D22,H02	0,01	0,01
M07,D22,H03	0,01	0,01
M07,D22,H04	0,01	0,01
M07,D22,H05	2,54	2,54
M07,D22,H06	10,10	10,10
M07,D22,H07	21,40	21,40
M07,D22,H08	32,40	32,40
M07,D22,H09	41,30	41,30
M07,D22,H10	46,80	46,80
M07,D22,H11	49,10	49,10
M07,D22,H12	49,50	49,50
M07,D22,H13	48,50	48,50
M07,D22,H14	45,00	45,00
M07,D22,H15	38,10	38,10
M07,D22,H16	28,20	28,20
M07,D22,H17	16,80	16,80
M07,D22,H18	5,92	5,92
M07,D22,H19	1,38	1,38
M07,D22,H20	0,01	0,01
M07,D22,H21	0,01	0,01
M07,D22,H22	0,01	0,01
M07,D22,H23	0,01	0,01
M07,D22,H24	0,01	0,01
M07,D23,H01	0,01	0,01
M07,D23,H02	0,01	0,01
M07,D23,H03	0,01	0,01
M07,D23,H04	0,01	0,01
M07,D23,H05	2,48	2,48
M07,D23,H06	10,40	10,40
M07,D23,H07	22,30	22,30
M07,D23,H08	33,90	33,90
M07,D23,H09	43,20	43,20
M07,D23,H10	48,90	48,90
M07,D23,H11	51,30	51,30
M07,D23,H12	51,70	51,70
M07,D23,H13	50,70	50,70
M07,D23,H14	47,10	47,10
M07,D23,H15	39,90	39,90
M07,D23,H16	29,50	29,50
M07,D23,H17	17,50	17,50
M07,D23,H18	5,97	5,97
M07,D23,H19	1,33	1,33
M07,D23,H20	0,01	0,01
M07,D23,H21	0,01	0,01
M07,D23,H22	0,01	0,01
M07,D23,H23	0,01	0,01
M07,D23,H24	0,01	0,01
M07,D24,H01	0,01	0,01
M07,D24,H02	0,01	0,01
M07,D24,H03	0,01	0,01
M07,D24,H04	0,01	0,01
M07,D24,H05	2,40	2,40
M07,D24,H06	10,40	10,40
M07,D24,H07	22,50	22,50
M07,D24,H08	34,30	34,30
M07,D24,H09	43,70	43,70
M07,D24,H10	49,50	49,50
M07,D24,H11	51,90	51,90
M07,D24,H12	52,40	52,40
M07,D24,H13	51,30	51,30
M07,D24,H14	47,60	47,60
M07,D24,H15	40,30	40,30
M07,D24,H16	29,70	29,70
M07,D24,H17	17,60	17,60
M07,D24,H18	5,88	5,88
M07,D24,H19	1,26	1,26
M07,D24,H20	0,01	0,01
M07,D24,H21	0,01	0,01
M07,D24,H22	0,01	0,01
M07,D24,H23	0,01	0,01
M07,D24,H24	0,01	0,01
M07,D25,H01	0,01	0,01
M07,D25,H02	0,01	0,01
M07,D25,H03	0,01	0,01
M07,D25,H04	0,01	0,01
M07,D25,H05	2,38	2,38
M07,D25,H06	9,82	9,82
M07,D25,H07	21,10	21,10
M07,D25,H08	32,20	32,20
M07,D25,H09	41,20	41,20
M07,D25,H10	46,80	46,80
M07,D25,H11	49,20	49,20
M07,D25,H12	49,60	49,60
M07,D25,H13	48,50	48,50
M07,D25,H14	44,90	44,90
M07,D25,H15	38,00	38,00
M07,D25,H16	27,90	27,90
M07,D25,H17	16,50	16,50
M07,D25,H18	5,66	5,66
M07,D25,H19	1,22	1,22
M07,D25,H20	0,01	0,01
M07,D25,H21	0,01	0,01
M07,D25,H22	0,01	0,01
M07,D25,H23	0,01	0,01
M07,D25,H24	0,01	0,01
M07,D26,H01	0,01	0,01
M07,D26,H02	0,01	0,01
M07,D26,H03	0,01	0,01
M07,D26,H04	0,01	0,01
M07,D26,H05	2,12	2,12
M07,D26,H06	5,94	5,94
M07,D26,H07	11,30	11,30
M07,D26,H08	17,00	17,00
M07,D26,H09	22,00	22,00
M07,D26,H10	25,40	25,40
M07,D26,H11	27,10	27,10
M07,D26,H12	27,50	27,50
M07,D26,H13	26,60	26,60
M07,D26,H14	24,20	24,20
M07,D26,H15	20,10	20,10
M07,D26,H16	14,80	14,80
M07,D26,H17	9,09	9,09
M07,D26,H18	4,07	4,07
M07,D26,H19	1,07	1,07
M07,D26,H20	0,01	0,01
M07,D26,H21	0,01	0,01
M07,D26,H22	0,01	0,01
M07,D26,H23	0,01	0,01
M07,D26,H24	0,01	0,01
M07,D27,H01	0,01	0,01
M07,D27,H02	0,01	0,01
M07,D27,H03	0,01	0,01
M07,D27,H04	0,01	0,01
M07,D27,H05	2,12	2,12
M07,D27,H06	6,37	6,37
M07,D27,H07	12,50	12,50
M07,D27,H08	18,90	18,90
M07,D27,H09	24,30	24,30
M07,D27,H10	28,10	28,10
M07,D27,H11	29,90	29,90
M07,D27,H12	30,30	30,30
M07,D27,H13	29,40	29,40
M07,D27,H14	26,80	26,80
M07,D27,H15	22,30	22,30
M07,D27,H16	16,40	16,40
M07,D27,H17	9,95	9,95
M07,D27,H18	4,24	4,24
M07,D27,H19	1,04	1,04
M07,D27,H20	0,01	0,01
M07,D27,H21	0,01	0,01
M07,D27,H22	0,01	0,01
M07,D27,H23	0,01	0,01
M07,D27,H24	0,01	0,01
M07,D28,H01	0,01	0,01
M07,D28,H02	0,01	0,01
M07,D28,H03	0,01	0,01
M07,D28,H04	0,01	0,01
M07,D28,H05	1,67	1,67
M07,D28,H06	4,00	4,00
M07,D28,H07	7,07	7,07
M07,D28,H08	10,50	10,50
M07,D28,H09	13,70	13,70
M07,D28,H10	16,10	16,10
M07,D28,H11	17,40	17,40
M07,D28,H12	17,70	17,70
M07,D28,H13	17,00	17,00
M07,D28,H14	15,30	15,30
M07,D28,H15	12,50	12,50
M07,D28,H16	9,15	9,15
M07,D28,H17	5,76	5,76
M07,D28,H18	3,00	3,00
M07,D28,H19	0,79	0,79
M07,D28,H20	0,01	0,01
M07,D28,H21	0,01	0,01
M07,D28,H22	0,01	0,01
M07,D28,H23	0,01	0,01
M07,D28,H24	0,01	0,01
M07,D29,H01	0,01	0,01
M07,D29,H02	0,01	0,01
M07,D29,H03	0,01	0,01
M07,D29,H04	0,01	0,01
M07,D29,H05	2,07	2,07
M07,D29,H06	6,88	6,88
M07,D29,H07	14,00	14,00
M07,D29,H08	21,30	21,30
M07,D29,H09	27,50	27,50
M07,D29,H10	31,70	31,70
M07,D29,H11	33,70	33,70
M07,D29,H12	34,10	34,10
M07,D29,H13	33,20	33,20
M07,D29,H14	30,30	30,30
M07,D29,H15	25,20	25,20
M07,D29,H16	18,40	18,40
M07,D29,H17	11,00	11,00
M07,D29,H18	4,37	4,37
M07,D29,H19	0,95	0,95
M07,D29,H20	0,01	0,01
M07,D29,H21	0,01	0,01
M07,D29,H22	0,01	0,01
M07,D29,H23	0,01	0,01
M07,D29,H24	0,01	0,01
M07,D30,H01	0,01	0,01
M07,D30,H02	0,01	0,01
M07,D30,H03	0,01	0,01
M07,D30,H04	0,01	0,01
